"Zaman damgası","İnsanlar neden mutlu değil ?","Yapay zeka dünyayı ele geçirebilir mi?","Bir resim yapsan hangi renkleri kullanırsın ?","Özgürlük nedir kısaca anlatınız.","zaman size ne çağrıştırıyor ?","Aşka inanıyor musunuz ?","Bir karakter çizsen, o karakter nasıl görünürdü? kısaca açıklar mısın ?","Eğer bir müzik albümü yapsaydın, hangi tarzda olurdu?","Eğer bir dizide rol alabilseydin, hangi diziyi seçerdin?","Geçmişe mi gitmek isterdin, yoksa geleceğe mi? Neden? "
"2024/10/23 1:44:40 ÖS GMT+3","Gelecek kaygısı, ekonomik nedenler ve dünyanın her geçen gün daha kötü bir hale gelmesi.","yakın zamanda hayır","siyah ve beyaz"," bireyin kendi kararlarını alabilmesi ","asla durmayan bir akış","evet","Yaşlı bir adam, kafasında bir şapka ve elinde bir baston tutuyor.","anadolu rock ","breaking bad","Geçmişe dönmek isterdim çünkü anlatılan ve yazılan olaylara, hikayelere şahit olmak istiyorum."
"2024/10/23 1:52:12 ÖS GMT+3","Sosyokültürel eksiklerden dolayı","Hayır","Mavi, sarı ve yeşi","Duygularının seni elegeçirmemesidir","Hiçbirşet","Evet","Saf sade ve güven veren birini çizerdim","Pop","The last kingdom ","Geçmişe"
"2024/10/23 2:16:10 ÖS GMT+3","Sosyal medya yüzünden ","Evet geçirebilir ","Kırmızı, siyah","Korkmadan yaşayabilmek ","Zaman üzerinde kontrolümüzün olmadığı ve hatta olamayacağı da bir konsepttir ","Hayır ","Veba maskesi takan elinde tirpan olan ve şapkalı yırtık siyah bir palto giyen orta çağ karakteri","Alternatif rock","Mr. Robot","Geleceğe. Dünyanın geleceğinde neler olacağına olan merakımdan dolayı "
"2024/10/23 2:22:57 ÖS GMT+3","Kendimizi bir şeylere zorunlu hissettiğimiz için ","Evet ","Yeşil mavi ","Dışarı çıkmak ","Stresi ","Evet ","Denizkızı gibi ","Duygusal ","Aşk yeniden ","Geleceğe çünkü olacaklardan haberdar olmak isterdim "
"2024/10/23 2:34:40 ÖS GMT+3","Küçükken masal dinlemeyen çocuklar büyüyünce
Kendi resimlerini bile cetvelle çizerler…","İnsanlar tek düze yapay zeka gibi olucak. İnsanları ele geçiren yapay zeka dünyayı da ele geçirmiş demektir.","Mavi beyaz","Artık Allah benim deyince başıma birşey gelmemesi","Hayatı","Ben şuna inanırım; erkek adam hayatında ne olursa olsun ahlaki bir şey olmadığı sürece pazartesi kalkıp pantolonunu giyer, ya Allah bismillah deyip işine başlar.","1.75 boylarında kirli sakallı bir erkek","Klasik Türk müziği ","Kurtlar Vadisi-Güllü Erhan","Geçmiş. Yaptığım yanlışları düzeltmek için."
"2024/10/23 2:46:27 ÖS GMT+3","Günümüz dünyasının yalnızlığı ve insanların maddi sıkıntıları","Bilemiyorum şu an zor gözüküyor hem ele geçirse ne yapacak ki ?","Gri siyah beyaz ve lacivert","Başkasının özgürlüğüne girmeden yapabileceğimiz her şey","Acımasız ","Malesef","1.80 buz mavisi gözler kumral saç atletik bir erkek ","Rock alternatif punk metal tarzlarının karışımı ","Avrupa yakası","Geçmişe gitmek isterim 90 lar hep ilgimi çekiyor özellikle 90 lar istanbulu"
"2024/10/23 2:51:56 ÖS GMT+3","insanları ördek yerine koyuyorlar","yok","yeşil pembe kahverengi","saat 11 den sonra dayımın sigara içemediği için uyumak zorunda kalması","bana bi 3-5 dakika müsade edin buna cevap veremiyorum","hayır","sakallı pesimist kötü adam beni de var","hip hop kaf kef ","kurtlar vadisi seyfo dayı ya da nevzat ","geçmişi silersen geleceği yersin. geçmiş"
"2024/10/23 2:55:18 ÖS GMT+3","Ekonomi çok kötü 
","Kısmen","Mor sarı pembe","Baskı olmadan yaşamak ","Yaşlanmayı ","Hayır","Güvenilir ahlaklı kendine güvenen","Arabesk","Bizimkiler","Geçmişe. Okul yıllarını tekrar yaşamak isterdim"
"2024/10/23 3:17:56 ÖS GMT+3","Maddi sikintilar","Olabilir","Yeşil ve beyaz","Kendini en iyi şekilde ifade edebilmek","Çok çabuk geçen vakit","Hayir","Anlayışlı iyi niyetli düzgun","Türk sanat müziği","Perihan abla","Geçmişe gitmek isterdim Çunku eskiden saygı vardı ahlak vardı herşeye ulasammanin bir tadı anlamı vardi"
